idx,Submission Date_x,Submission IP,Readability,Maintainability,Extensibility,Scalability,Recognition,Convincingness,Pleasingness,Completeness,Gracefulness,Harmoniousness,Sustainability,Overall,Submission Date_y,Age,Gender,exp_w_java,exp_w_py,exp_w_c,exp_w_cpp,exp_total,Are you currently a student?,problem_num,solution_num,global_solution_num
12,"Jul 18, 2023",162.229.180.78,5,5,,3,3,3,3,3,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,1,1,1
13,"Jul 17, 2023",129.72.170.58,4,5,4,3,5,5,2,,5,2,4,4,"Jul 17, 2023",50+,Female,2,1,2,3,5,,1,1,1
14,"Jul 14, 2023",110.235.225.21,5,4,4,4,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,1,1,1
15,"Jun 2, 2023",96.40.130.33,5,5,5,3,5,4,3,5,1,5,3,2,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,1,1,1
16,"May 21, 2023",66.23.24.49,5,5,5,5,5,5,5,5,5,5,5,5,"May 21, 2023",26 - 34,Prefer not to answer,5,5,4,4,5,,1,1,1
17,"May 6, 2023",68.9.160.75,5,5,3,3,5,4,5,5,5,5,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,1,1,1
0,"Oct 20, 2023",109.136.49.63,5,5,4,3,3,3,4,3,3,3,3,3,"Oct 20, 2023",Prefer not to answer,Prefer not to answer,0,4,0,0,5,No,1,2,2
1,"Oct 20, 2023",73.114.115.16,3,3,3,4,5,4,3,3,3,2,2,3,"Oct 20, 2023",26 - 34,Male,1,4,3,4,4,Yes - college graduate,1,2,2
2,"Oct 15, 2023",134.88.137.115,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,1,2,2
3,"Oct 14, 2023",71.232.214.48,5,1,1,1,1,1,5,4,3,1,4,3,"Oct 14, 2023",26 - 34,Male,3,3,4,4,4,Yes - college graduate,1,2,2
4,"Oct 14, 2023",24.60.90.2,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,1,2,2
5,"Oct 7, 2023",134.88.135.111,3,4,5,5,5,5,5,4,4,4,3,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,1,2,2
6,"Sep 26, 2023",134.88.143.5,5,5,3,3,5,4,3,5,3,4,3,4,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,1,2,2
7,"Sep 24, 2023",73.68.203.24,4,1,1,3,4,3,3,5,3,2,2,2,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,1,2,2
8,"Sep 17, 2023",74.104.133.99,5,5,5,2,4,5,5,5,4,5,2,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,1,2,2
9,"Aug 29, 2023",104.183.139.113,4,4,4,5,5,3,4,4,3,4,,4,"Aug 29, 2023",18 - 25,Male,2,4,1,1,4,,1,2,2
11,"Jul 26, 2023",62.16.147.205,2,2,2,3,3,3,3,2,3,4,2,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,1,2,2
12,"Jul 18, 2023",162.229.180.78,3,4,4,3,4,4,4,4,4,4,4,4,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,1,2,2
13,"Jul 17, 2023",129.72.170.58,4,4,4,3,5,4,5,4,3,4,3,4,"Jul 17, 2023",50+,Female,2,1,2,3,5,,1,2,2
14,"Jul 14, 2023",110.235.225.21,5,4,4,4,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,1,2,2
15,"Jun 2, 2023",96.40.130.33,4,4,4,3,4,5,3,5,3,3,3,2,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,1,2,2
16,"May 21, 2023",66.23.24.49,5,5,5,5,5,5,5,5,5,5,5,5,"May 21, 2023",26 - 34,Prefer not to answer,5,5,4,4,5,,1,2,2
17,"May 6, 2023",68.9.160.75,4,3,1,3,4,4,3,4,4,4,3,3,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,1,2,2
0,"Oct 20, 2023",109.136.49.63,4,4,3,3,4,3,2,3,2,2,2,2,"Oct 20, 2023",Prefer not to answer,Prefer not to answer,0,4,0,0,5,No,1,3,3
1,"Oct 20, 2023",73.114.115.16,2,3,3,2,3,4,2,3,2,3,2,3,"Oct 20, 2023",26 - 34,Male,1,4,3,4,4,Yes - college graduate,1,3,3
2,"Oct 15, 2023",134.88.137.115,4,5,5,5,5,4,4,5,4,4,5,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,1,3,3
3,"Oct 14, 2023",71.232.214.48,5,1,1,1,1,1,5,4,3,1,4,3,"Oct 14, 2023",26 - 34,Male,3,3,4,4,4,Yes - college graduate,1,3,3
4,"Oct 14, 2023",24.60.90.2,3,3,3,3,3,3,3,3,3,3,3,3,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,1,3,3
5,"Oct 7, 2023",134.88.135.111,5,5,4,4,5,5,5,5,5,5,5,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,1,3,3
6,"Sep 26, 2023",134.88.143.5,4,4,5,5,4,4,3,5,3,2,5,4,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,1,3,3
7,"Sep 24, 2023",73.68.203.24,3,1,1,3,2,3,2,4,1,3,3,2,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,1,3,3
8,"Sep 17, 2023",74.104.133.99,2,3,4,3,3,5,4,5,4,5,3,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,1,3,3
9,"Aug 29, 2023",104.183.139.113,3,2,3,2,2,1,2,3,3,2,,1,"Aug 29, 2023",18 - 25,Male,2,4,1,1,4,,1,3,3
11,"Jul 26, 2023",62.16.147.205,2,2,2,4,2,3,2,3,2,3,4,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,1,3,3
12,"Jul 18, 2023",162.229.180.78,4,4,3,4,4,4,3,4,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,1,3,3
13,"Jul 17, 2023",129.72.170.58,2,2,2,3,3,2,2,3,2,2,2,2,"Jul 17, 2023",50+,Female,2,1,2,3,5,,1,3,3
14,"Jul 14, 2023",110.235.225.21,5,4,4,4,5,5,4,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,1,3,3
15,"Jun 2, 2023",96.40.130.33,3,3,3,3,3,3,1,4,1,1,2,1,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,1,3,3
16,"May 21, 2023",66.23.24.49,5,3,2,2,2,3,3,5,4,4,5,4,"May 21, 2023",26 - 34,Prefer not to answer,5,5,4,4,5,,1,3,3
17,"May 6, 2023",68.9.160.75,4,4,3,2,3,3,3,4,2,4,4,2,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,1,3,3
0,"Oct 20, 2023",109.136.49.63,4,3,2,2,3,2,2,2,2,2,2,2,"Oct 20, 2023",Prefer not to answer,Prefer not to answer,0,4,0,0,5,No,1,4,4
1,"Oct 20, 2023",73.114.115.16,4,4,4,4,4,4,4,4,4,3,3,4,"Oct 20, 2023",26 - 34,Male,1,4,3,4,4,Yes - college graduate,1,4,4
2,"Oct 15, 2023",134.88.137.115,5,5,4,4,5,5,4,5,4,5,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,1,4,4
3,"Oct 14, 2023",71.232.214.48,4,1,1,1,1,1,4,4,3,1,4,3,"Oct 14, 2023",26 - 34,Male,3,3,4,4,4,Yes - college graduate,1,4,4
4,"Oct 14, 2023",24.60.90.2,4,4,4,4,4,4,4,4,4,4,4,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,1,4,4
5,"Oct 7, 2023",134.88.135.111,5,4,4,2,2,3,5,2,3,3,2,4,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,1,4,4
6,"Sep 26, 2023",134.88.143.5,4,3,4,3,4,3,2,4,2,1,3,3,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,1,4,4
7,"Sep 24, 2023",73.68.203.24,5,2,2,3,4,4,4,4,4,4,3,4,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,1,4,4
8,"Sep 17, 2023",74.104.133.99,4,5,5,2,4,5,4,5,3,5,2,3,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,1,4,4
9,"Aug 29, 2023",104.183.139.113,4,3,2,2,4,2,4,3,4,4,,3,"Aug 29, 2023",18 - 25,Male,2,4,1,1,4,,1,4,4
11,"Jul 26, 2023",62.16.147.205,2,2,2,4,2,3,2,3,2,2,4,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,1,4,4
12,"Jul 18, 2023",162.229.180.78,3,2,2,2,2,2,2,3,2,2,2,2,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,1,4,4
13,"Jul 17, 2023",129.72.170.58,3,2,2,2,3,1,,1,1,1,1,1,"Jul 17, 2023",50+,Female,2,1,2,3,5,,1,4,4
14,"Jul 14, 2023",110.235.225.21,5,5,4,4,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,1,4,4
15,"Jun 2, 2023",96.40.130.33,5,5,4,3,5,5,3,5,3,3,3,3,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,1,4,4
16,"May 21, 2023",66.23.24.49,4,4,4,4,4,4,3,4,3,3,4,4,"May 21, 2023",26 - 34,Prefer not to answer,5,5,4,4,5,,1,4,4
17,"May 6, 2023",68.9.160.75,5,4,1,3,4,3,4,3,4,4,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,1,4,4
0,"Oct 20, 2023",109.136.49.63,5,4,4,3,3,3,3,3,3,3,3,3,"Oct 20, 2023",Prefer not to answer,Prefer not to answer,0,4,0,0,5,No,1,5,5
1,"Oct 20, 2023",73.114.115.16,4,4,5,4,4,4,4,4,4,4,4,4,"Oct 20, 2023",26 - 34,Male,1,4,3,4,4,Yes - college graduate,1,5,5
2,"Oct 15, 2023",134.88.137.115,5,5,5,5,5,5,4,5,5,5,5,5,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,1,5,5
3,"Oct 14, 2023",71.232.214.48,3,1,1,1,1,1,4,4,3,1,4,3,"Oct 14, 2023",26 - 34,Male,3,3,4,4,4,Yes - college graduate,1,5,5
4,"Oct 14, 2023",24.60.90.2,4,4,4,4,3,3,3,4,4,,5,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,1,5,5
5,"Oct 7, 2023",134.88.135.111,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,1,5,5
6,"Sep 26, 2023",134.88.143.5,4,4,4,3,4,3,2,4,2,3,3,3,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,1,5,5
7,"Sep 24, 2023",73.68.203.24,5,3,1,1,5,2,3,3,3,5,2,3,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,1,5,5
8,"Sep 17, 2023",74.104.133.99,4,5,5,2,5,4,5,4,4,4,2,3,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,1,5,5
9,"Aug 29, 2023",104.183.139.113,5,4,3,4,4,4,2,3,3,5,,4,"Aug 29, 2023",18 - 25,Male,2,4,1,1,4,,1,5,5
11,"Jul 26, 2023",62.16.147.205,3,2,2,2,3,3,3,3,3,3,2,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,1,5,5
12,"Jul 18, 2023",162.229.180.78,3,3,4,3,3,3,2,3,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,1,5,5
13,"Jul 17, 2023",129.72.170.58,5,5,4,4,5,4,3,5,3,3,4,4,"Jul 17, 2023",50+,Female,2,1,2,3,5,,1,5,5
14,"Jul 14, 2023",110.235.225.21,5,4,4,4,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,1,5,5
15,"Jun 2, 2023",96.40.130.33,5,5,4,3,5,5,3,5,3,3,3,3,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,1,5,5
16,"May 21, 2023",66.23.24.49,5,5,5,4,4,4,4,4,3,4,4,4,"May 21, 2023",26 - 34,Prefer not to answer,5,5,4,4,5,,1,5,5
17,"May 6, 2023",68.9.160.75,5,5,4,4,5,4,4,4,5,4,5,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,1,5,5
0,"Oct 15, 2023",134.88.137.115,3,4,5,5,5,4,3,4,3,4,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,2,1,6
1,"Oct 14, 2023",24.60.90.2,5,5,5,3,5,5,5,5,5,5,3,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,2,1,6
2,"Oct 7, 2023",134.88.135.111,5,5,5,5,4,5,5,5,5,5,5,5,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,2,1,6
3,"Sep 26, 2023",134.88.143.5,4,4,4,2,3,4,2,3,3,2,3,3,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,2,1,6
4,"Sep 26, 2023",73.68.203.24,5,4,4,4,5,5,5,5,4,5,4,5,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,2,1,6
5,"Sep 17, 2023",74.104.133.99,5,5,5,5,5,5,5,5,5,5,5,5,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,2,1,6
7,"Jul 26, 2023",62.16.147.205,2,2,3,2,2,3,3,2,2,3,3,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,2,1,6
8,"Jul 18, 2023",162.229.180.78,5,5,3,4,4,4,4,4,4,4,4,4,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,2,1,6
9,"Jul 17, 2023",129.72.170.58,3,3,3,3,3,3,3,3,2,2,4,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,2,1,6
10,"Jul 14, 2023",110.235.225.21,5,5,5,5,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,2,1,6
11,"Jun 2, 2023",96.40.130.33,5,5,5,3,5,5,4,5,4,5,4,4,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,2,1,6
12,"May 8, 2023",68.9.160.75,4,5,3,4,5,5,5,4,4,4,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,2,1,6
0,"Oct 15, 2023",134.88.137.115,5,5,5,5,5,5,5,5,5,5,5,5,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,2,2,7
1,"Oct 14, 2023",24.60.90.2,5,5,5,5,5,5,4,5,5,5,3,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,2,2,7
2,"Oct 7, 2023",134.88.135.111,4,4,4,4,4,4,5,4,5,4,4,4,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,2,2,7
3,"Sep 26, 2023",134.88.143.5,4,4,3,3,4,4,4,3,3,5,3,4,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,2,2,7
4,"Sep 26, 2023",73.68.203.24,5,4,4,4,5,5,5,4,4,5,5,5,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,2,2,7
5,"Sep 17, 2023",74.104.133.99,4,5,5,5,4,5,5,5,5,5,5,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,2,2,7
7,"Jul 26, 2023",62.16.147.205,2,2,2,4,2,2,1,2,1,2,4,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,2,2,7
8,"Jul 18, 2023",162.229.180.78,4,4,4,4,4,4,5,5,5,5,4,4,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,2,2,7
9,"Jul 17, 2023",129.72.170.58,3,2,2,3,3,2,3,3,3,2,2,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,2,2,7
10,"Jul 14, 2023",110.235.225.21,5,5,5,5,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,2,2,7
11,"Jun 2, 2023",96.40.130.33,5,5,4,4,5,5,4,5,4,4,3,4,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,2,2,7
12,"May 8, 2023",68.9.160.75,4,4,2,3,5,4,3,4,3,3,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,2,2,7
0,"Oct 15, 2023",134.88.137.115,3,4,5,5,5,4,3,4,3,4,4,4,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,2,3,8
1,"Oct 14, 2023",24.60.90.2,3,3,3,3,3,4,4,4,4,4,4,3,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,2,3,8
2,"Oct 7, 2023",134.88.135.111,3,4,3,4,3,3,4,3,3,3,3,3,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,2,3,8
3,"Sep 26, 2023",134.88.143.5,4,3,4,3,3,4,2,3,2,2,3,2,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,2,3,8
4,"Sep 26, 2023",73.68.203.24,4,4,4,4,5,5,4,4,4,5,5,4,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,2,3,8
5,"Sep 17, 2023",74.104.133.99,2,3,3,5,2,4,2,5,4,4,5,2,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,2,3,8
7,"Jul 26, 2023",62.16.147.205,2,2,1,3,1,2,1,1,1,2,4,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,2,3,8
8,"Jul 18, 2023",162.229.180.78,5,4,4,4,5,5,5,5,5,5,4,4,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,2,3,8
9,"Jul 17, 2023",129.72.170.58,4,3,3,3,3,2,2,3,2,2,4,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,2,3,8
10,"Jul 14, 2023",110.235.225.21,5,5,5,5,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,2,3,8
11,"Jun 2, 2023",96.40.130.33,4,5,4,4,5,5,4,5,3,3,3,4,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,2,3,8
12,"May 8, 2023",68.9.160.75,4,3,2,4,5,4,5,4,4,4,4,4,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,2,3,8
0,"Oct 15, 2023",134.88.137.115,4,5,5,5,5,4,3,4,3,4,4,3,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,2,4,9
1,"Oct 14, 2023",24.60.90.2,2,3,3,4,4,5,4,4,4,3,3,4,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,2,4,9
2,"Oct 7, 2023",134.88.135.111,3,4,4,4,2,3,4,3,3,3,4,4,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,2,4,9
3,"Sep 26, 2023",134.88.143.5,4,3,3,4,5,4,3,4,4,3,3,4,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,2,4,9
4,"Sep 26, 2023",73.68.203.24,3,3,4,4,2,4,4,3,4,4,4,3,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,2,4,9
5,"Sep 17, 2023",74.104.133.99,3,4,4,5,4,5,4,3,5,5,5,3,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,2,4,9
7,"Jul 26, 2023",62.16.147.205,3,4,4,4,4,4,4,4,4,4,4,4,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,2,4,9
8,"Jul 18, 2023",162.229.180.78,3,3,3,3,3,3,1,3,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,2,4,9
9,"Jul 17, 2023",129.72.170.58,2,2,2,2,2,2,2,2,2,2,2,3,"Jul 17, 2023",50+,Female,2,1,2,3,5,,2,4,9
10,"Jul 14, 2023",110.235.225.21,5,5,5,5,5,5,5,5,5,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,2,4,9
11,"Jun 2, 2023",96.40.130.33,4,5,4,4,4,5,4,5,4,4,3,4,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,2,4,9
12,"May 8, 2023",68.9.160.75,3,4,4,4,3,3,3,4,4,4,3,3,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,2,4,9
0,"Oct 15, 2023",134.88.137.115,2,4,4,4,4,3,2,4,3,4,4,3,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,2,5,10
1,"Oct 14, 2023",24.60.90.2,2,2,2,4,3,3,3,3,3,3,2,2,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,2,5,10
2,"Oct 7, 2023",134.88.135.111,2,3,3,3,2,2,2,3,2,3,3,2,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,2,5,10
3,"Sep 26, 2023",134.88.143.5,3,2,3,5,1,2,3,2,3,1,3,2,"Sep 26, 2023",18 - 25,Male,1,2,1,0,3,Yes - college undergraduate,2,5,10
4,"Sep 26, 2023",73.68.203.24,1,1,1,1,1,1,1,3,1,1,1,1,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,2,5,10
5,"Sep 17, 2023",74.104.133.99,1,2,2,4,1,1,1,3,2,2,4,2,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,2,5,10
7,"Jul 26, 2023",62.16.147.205,1,1,2,4,1,2,1,2,1,3,4,2,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,2,5,10
8,"Jul 18, 2023",162.229.180.78,1,1,1,1,1,1,1,1,1,1,1,1,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,2,5,10
9,"Jul 17, 2023",129.72.170.58,1,1,1,1,1,1,1,1,1,1,1,1,"Jul 17, 2023",50+,Female,2,1,2,3,5,,2,5,10
10,"Jul 14, 2023",110.235.225.21,4,5,5,5,4,5,4,5,4,5,5,5,"Jul 14, 2023",18 - 25,Female,0,1,0,0,1,,2,5,10
11,"Jun 2, 2023",96.40.130.33,1,1,1,1,2,1,1,4,1,1,1,1,"Jun 2, 2023",18 - 25,Non-binary,4,1,1,1,4,,2,5,10
12,"May 8, 2023",68.9.160.75,2,2,2,3,2,2,2,2,2,2,2,2,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,2,5,10
0,"Oct 15, 2023",134.88.137.115,3,4,2,2,2,3,2,3,3,3,2,3,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,3,1,11
1,"Oct 14, 2023",24.60.90.2,2,2,1,2,1,1,1,1,1,1,1,1,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,3,1,11
2,"Oct 7, 2023",134.88.135.111,4,3,3,4,4,4,3,4,4,4,4,4,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,3,1,11
3,"Sep 29, 2023",73.68.203.24,5,5,5,3,5,5,5,5,5,5,4,5,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,3,1,11
4,"Sep 17, 2023",74.104.133.99,5,5,5,5,5,5,5,5,5,5,5,5,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,3,1,11
5,"Jul 26, 2023",62.16.147.205,4,3,4,3,3,3,3,3,3,2,3,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,3,1,11
6,"Jul 18, 2023",162.229.180.78,4,3,4,3,4,4,3,4,3,3,3,3,"Jul 18, 2023",35 - 49,Male,1,4,2,1,5,,3,1,11
7,"Jul 17, 2023",129.72.170.58,2,1,2,1,1,2,1,2,2,3,2,2,"Jul 17, 2023",50+,Female,2,1,2,3,5,,3,1,11
8,"May 10, 2023",68.9.160.75,3,3,2,3,3,3,3,4,4,4,3,3,"May 6, 2023",35 - 49,Male,4,2,5,4,5,,3,1,11
0,"Oct 15, 2023",134.88.137.115,3,4,4,3,3,4,3,4,3,4,2,3,"Oct 15, 2023",18 - 25,Female,2,1,2,0,3,Yes - college undergraduate,3,2,12
1,"Oct 14, 2023",24.60.90.2,2,2,2,2,2,2,1,2,1,2,2,3,"Oct 14, 2023",18 - 25,Male,0,3,4,4,4,Yes - college graduate,3,2,12
2,"Oct 7, 2023",134.88.135.111,3,3,4,4,3,3,3,3,3,3,3,3,"Oct 7, 2023",18 - 25,Male,2,3,3,1,3,Yes - college graduate,3,2,12
3,"Sep 29, 2023",73.68.203.24,5,5,5,3,5,5,5,5,5,5,4,5,"Sep 24, 2023",35 - 49,Male,4,1,1,2,5,No,3,2,12
4,"Sep 17, 2023",74.104.133.99,4,5,5,5,5,4,4,5,5,5,5,4,"Sep 17, 2023",35 - 49,Male,5,0,5,5,5,No,3,2,12
5,"Jul 26, 2023",62.16.147.205,2,3,4,4,3,3,2,4,2,3,4,3,"Jul 26, 2023",35 - 49,Male,0,4,0,0,5,,3,2,12
